HNetID,VIN,Stock #,Stock-Type,Year,Make,Model,Model-No,Model-Type,Transmission,Trim-Level,# of Doors,Mileage,# of Cyl,Engine,Drivetrain,Ext. Color,Int. Color,Invoice Price,Retail Price,Book Value,Selling Price,Entry Date,Certified,Description,Options,Wheelbase,Commercial
2122511,KNDMA5C15F6015924,K20044,NEW,2015,KIA,SEDONA,64212/010,,,,,10,,G6DHES19106,,UD_CLEAR_WHITE/UD_CLEAR_WHITE,,26470.00,26990.00,,26990.00,10/16/14,,,CF,,
2122511,KNDPBCAC0F7772100,K20699,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,13,,,,BLACK_CHERRY/BLACK_CHERRY,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,KNAFK4A66F5407781,K20831,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,7,,,,AURORA_BLACK/AURORA_BLACK,,18087.00,18615.00,,18615.00,04/13/15,,,ABP CT CF,,
2122511,KNDPB3AC6F7699640,K19914,NEW,2015,KIA,SPORTAGE,42222/020,MP,,,,3,,G4KJEH64861,,D5U_SAND_TRACK/D5U_SAND_TRACK,,23799.00,24580.00,,24580.00,09/24/14,,,CF CO CT PKG UVH,,
2122511,KNDPBCAC4F7772102,K20700,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,9,,,,BLACK_CHERRY/BLACK_CHERRY,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,KNAGM4A72F5578440,K20569,NEW,2015,KIA,OPTIMA,53222/045,SD,AUTOMATIC,,,3,,,,SATIN_METAL/SATIN_METAL,,23801.00,24670.00,,24670.00,03/18/15,,,CF COP RS,,
2122511,5XYKTDA68FG655245,K20176,NEW,2015,KIA,SORENTO,73422/025,UTILITY,,,,15,,G4KJEK65490,,IM/TITANIUM_GRAY,,29520.00,30340.00,,30340.00,11/17/14,,,CN CPW MUG TSA,,
2122511,KNAGM4A7XF5578475,K20832,NEW,2015,KIA,OPTIMA,53222/045,SD,AUTOMATIC,,,6,,,,SATIN_METAL/SATIN_METAL,,23801.00,24670.00,,24670.00,04/13/15,,,CF COP RS,,
2122511,KNDPBCAC1F7772106,K20701,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,10,,,,BLACK_CHERRY/BLACK_CHERRY,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,KNAGM4A76F5574343,K20570,NEW,2015,KIA,OPTIMA,53222/045,SD,AUTOMATIC,,,6,,,,SNOW_WHITE_PEARL/SNOW_WHITE_PEARL,,23988.00,24870.00,,24870.00,03/18/15,,,SWP CF COP RS,,
2122511,5XXGN4A77FG398480,K19784,NEW,2015,KIA,OPTIMA,53242/030,,,,,8,,G4KJEK56479,,D0_METAL_BRONZE/D0_METAL_BRONZE,,27103.00,28625.00,,28625.00,09/11/14,,,PB RSP,,
2122511,KNDPBCAC5F7772108,K20702,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,9,,,,BLACK_CHERRY/BLACK_CHERRY,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,5XXGR4A62FG355757,K19261,NEW,2015,KIA,OPTIMA,55292/010,4,,,,40,,G4KHEK25312,,EB_EBONY_BLACK/EB_EBONY_BLACK,,34720.00,36780.00,,36780.00,05/30/14,,,CK1 RSP WL,,
2122511,5XXGM4A79FG446306,K20440,NEW,2015,KIA,OPTIMA,53222/025,SD,AUTOMATIC,,,1,,,,SMOKEY_BLUE/SMOKEY_BLUE,,23282.00,24120.00,,24120.00,02/04/15,,,CF CKG RS,,
2122511,KNAGM4A77F5574304,K20571,NEW,2015,KIA,OPTIMA,53222/045,SD,AUTOMATIC,,,4,,,,SNOW_WHITE_PEARL/SNOW_WHITE_PEARL,,23988.00,24870.00,,24870.00,03/18/15,,,SWP CF COP RS,,
2122511,KNAGM4A73F5578396,K20833,NEW,2015,KIA,OPTIMA,53222/045,SD,AUTOMATIC,,,7,,,,SATIN_METAL/SATIN_METAL,,23801.00,24670.00,,24670.00,04/13/15,,,CF COP RS,,
2122511,KNAFK4A69F5360889,K20441,NEW,2015,KIA,Forte,C3422/020,SD,AUTOMATIC,,,3,,,,DESERT_SAND/DESERT_SAND,,17927.00,18435.00,,18435.00,02/04/15,,,CF,,
2122511,KNDPBCAC3F7771975,K20703,NEW,2015,KIA,SPORTAGE,42422/010,MP,AUTOMATIC,,,7,,,,BLACK_CHERRY/BLACK_CHERRY,,23763.00,24475.00,,24475.00,03/31/15,,,CF CN,,
2122511,KNAGM4A71F5578395,K20572,NEW,2015,KIA,OPTIMA,53222/045,SD,AUTOMATIC,,,3,,,,SATIN_METAL/SATIN_METAL,,23801.00,24670.00,,24670.00,03/18/15,,,CF COP RS,,
2122511,KNAGM4A74F5591013,K20834,NEW,2015,KIA,OPTIMA,53222/010,SD,AUTOMATIC,,,7,,,,SMOKEY_BLUE/SMOKEY_BLUE,,21940.00,22645.00,,22645.00,04/13/15,,,CF,,
